DATE,EXCHANGE,DEPOSITS_TO_EXCHANGES,WITHDRAWALS_FROM_EXCHANGES,NET_FLOW_TO_ETHEREUM
2021-05-24T00:00:00Z,uniswap,23309950.26531964,34917809.20250326,11607858.937183615
2021-05-24T00:00:00Z,binance,9479220.26494874,7401954.641763533,-2077265.6231852071
2021-05-24T00:00:00Z,huobi,7429928.038024271,4345361.253583571,-3084566.7844407
2021-05-24T00:00:00Z,coinbase,5360804.911018122,7007930.24258571,1647125.3315675883
2021-05-24T00:00:00Z,sushiswap,2390958.8315877104,3842989.2272260394,1452030.395638329
2021-05-24T00:00:00Z,hitbtc,1311123.6449519696,248937.10520394717,-1062186.5397480223
2021-05-24T00:00:00Z,tokenlon,1197561.939452197,1198709.3050409146,1147.3655887176283
2021-05-24T00:00:00Z,ftx,1157370.7289835415,48624.06743870923,-1108746.6615448322
2021-05-24T00:00:00Z,bitfinex,1011097.6472214173,60552.96600836529,-950544.681213052
2021-05-24T00:00:00Z,balancer,604187.1702754587,1254570.733591619,650383.5633161602
2021-05-24T00:00:00Z,gemini,597739.2390677454,398202.8044044483,-199536.43466329708
2021-05-24T00:00:00Z,bancor,494733.7729917118,1410389.410234937,915655.6372432252
2021-05-24T00:00:00Z,okex,480397.6515372901,463812.4365869155,-16585.21495037456
2021-05-23T00:00:00Z,uniswap,85513383.7085167,84878856.37895642,-634527.3295602798
2021-05-23T00:00:00Z,huobi,12006324.595897973,16323322.934672914,4316998.338774942
2021-05-23T00:00:00Z,binance,9220995.22965946,13969816.546166457,4748821.316506997
2021-05-23T00:00:00Z,coinbase,4836432.58270875,8271136.884292709,3434704.301583959
2021-05-23T00:00:00Z,sushiswap,4089770.482550514,3573722.458985585,-516048.02356492914
2021-05-23T00:00:00Z,gemini,2537470.7673696014,724356.0721591683,-1813114.695210433
2021-05-23T00:00:00Z,okex,1654866.7344016875,5797977.088303806,4143110.3539021187
2021-05-23T00:00:00Z,bancor,1529437.7034163591,1125156.0815678816,-404281.6218484775
2021-05-23T00:00:00Z,tokenlon,1421094.317463688,1558013.9684744375,136919.6510107494
2021-05-23T00:00:00Z,balancer,1395406.1036563958,1008070.0539207791,-387336.04973561666
2021-05-23T00:00:00Z,ftx,491902.4737603278,848104.3702818749,356201.8965215471
2021-05-23T00:00:00Z,bitfinex,251564.95345331778,3092944.5268569486,2841379.573403631
2021-05-23T00:00:00Z,hitbtc,36114.67700129096,20128.052212804818,-15986.624788486144
2021-05-22T00:00:00Z,uniswap,79038603.98714915,78401960.81703529,-636643.1701138616
2021-05-22T00:00:00Z,binance,10804927.908596324,9088014.512748053,-1716913.3958482705
2021-05-22T00:00:00Z,huobi,7368854.864319686,4336261.170262753,-3032593.694056933
2021-05-22T00:00:00Z,coinbase,3844925.70136433,5072998.6596466405,1228072.9582823105
2021-05-22T00:00:00Z,okex,3786690.739479584,1620522.6048436773,-2166168.1346359067
2021-05-22T00:00:00Z,sushiswap,2354106.1297451067,2296387.144154779,-57718.98559032753
2021-05-22T00:00:00Z,gemini,1307347.0081092906,131274.78762206587,-1176072.2204872249
2021-05-22T00:00:00Z,ftx,1069768.2832444275,1620647.8927676892,550879.6095232617
2021-05-22T00:00:00Z,bancor,775253.2675208108,784012.655420846,8759.38790003513
2021-05-22T00:00:00Z,tokenlon,702938.8459079973,792811.4814536781,89872.63554568077
2021-05-22T00:00:00Z,balancer,595071.8461215673,553254.9827362096,-41816.86338535766
2021-05-22T00:00:00Z,bitfinex,326761.2274318172,35151.9919808374,-291609.2354509798
2021-05-22T00:00:00Z,hitbtc,137819.56800622016,,
2021-05-21T00:00:00Z,uniswap,110724323.72714482,107481871.37323605,-3242452.3539087772
2021-05-21T00:00:00Z,binance,11880379.193285642,13679706.484878397,1799327.2915927544
2021-05-21T00:00:00Z,huobi,7530594.960838662,10471564.229640866,2940969.2688022032
2021-05-21T00:00:00Z,gemini,2883881.902008985,1464012.5863425338,-1419869.3156664514
2021-05-21T00:00:00Z,sushiswap,2664991.9829027043,2227645.760771114,-437346.22213159036
2021-05-21T00:00:00Z,coinbase,2460482.902285332,5180002.357474617,2719519.455189285
2021-05-21T00:00:00Z,okex,1463273.3851154658,3449236.4252265715,1985963.0401111057
2021-05-21T00:00:00Z,tokenlon,1237612.0754030026,1237063.381810161,-548.6935928415041
2021-05-21T00:00:00Z,balancer,1005075.3154471505,846706.0921866175,-158369.22326053295
2021-05-21T00:00:00Z,bitfinex,904213.9314702608,585875.8360210231,-318338.09544923774
2021-05-21T00:00:00Z,ftx,889074.700240637,1188400.739415612,299326.0391749751
2021-05-21T00:00:00Z,bancor,830145.5161119734,568663.8950503888,-261481.62106158468
2021-05-21T00:00:00Z,hitbtc,25063.282997823975,1599.5545543050239,-23463.72844351895
2021-05-20T00:00:00Z,uniswap,39959562.093267135,40400376.90387544,440814.81060830504
2021-05-20T00:00:00Z,binance,3972064.8917781217,89217860.32118954,85245795.42941141
2021-05-20T00:00:00Z,huobi,3492159.0889560464,12614087.780484466,9121928.691528419
2021-05-20T00:00:00Z,coinbase,2850586.687401549,9660156.407271268,6809569.719869719
2021-05-20T00:00:00Z,gemini,2222900.563456339,3709417.754424668,1486517.190968329
2021-05-20T00:00:00Z,sushiswap,2092845.3420834786,2070332.3618394793,-22512.980243999278
2021-05-20T00:00:00Z,okex,801200.3970116494,2949839.9129750174,2148639.515963368
2021-05-20T00:00:00Z,balancer,748350.8292312803,633531.7549116694,-114819.07431961084
2021-05-20T00:00:00Z,bancor,561790.2785003221,688367.8944711253,126577.61597080319
2021-05-20T00:00:00Z,tokenlon,477824.5653603947,476097.5965834316,-1726.9687769631273
2021-05-20T00:00:00Z,bitfinex,218480.0162934867,2410821.9596429593,2192341.9433494727
2021-05-20T00:00:00Z,ftx,210624.13913756795,3058053.477266115,2847429.338128547
2021-05-20T00:00:00Z,hitbtc,93502.15521677666,522176.56554900116,428674.4103322245
2021-05-19T00:00:00Z,uniswap,94598286.80202855,68165680.85851976,-26432605.94350879
2021-05-19T00:00:00Z,huobi,18344976.82808562,15236289.944891762,-3108686.883193858
2021-05-19T00:00:00Z,binance,15260944.12327559,305647.7429811596,-14955296.38029443
2021-05-19T00:00:00Z,sushiswap,7984616.729756629,8157050.571399427,172433.84164279792
2021-05-19T00:00:00Z,coinbase,6749201.574012791,23600255.796639636,16851054.222626846
2021-05-19T00:00:00Z,hitbtc,5707791.994788058,5842.321260139739,-5701949.673527919
2021-05-19T00:00:00Z,gemini,5138507.410504009,859587.7101035758,-4278919.700400433
2021-05-19T00:00:00Z,balancer,2470423.0031139776,2146047.4134605145,-324375.5896534631
2021-05-19T00:00:00Z,bitfinex,2344867.723253064,1608718.4285419448,-736149.294711119
2021-05-19T00:00:00Z,bancor,2135130.315011949,1420299.2716986616,-714831.0433132872
2021-05-19T00:00:00Z,ftx,1760991.3959888588,1934935.3720743794,173943.97608552058
2021-05-19T00:00:00Z,tokenlon,1238535.933522849,1332599.439406752,94063.50588390278
2021-05-19T00:00:00Z,okex,338654.2193585002,5307980.630257991,4969326.410899491
2021-05-18T00:00:00Z,uniswap,23995573.364015315,35735945.26385808,11740371.899842765
2021-05-18T00:00:00Z,binance,15754250.883071275,,
2021-05-18T00:00:00Z,huobi,6684754.754721408,4382565.676750989,-2302189.077970419
2021-05-18T00:00:00Z,gemini,3445744.9922349546,705193.2559503742,-2740551.7362845805
2021-05-18T00:00:00Z,coinbase,2968347.462935673,3529005.3886941206,560657.9257584475
2021-05-18T00:00:00Z,okex,2186415.568976806,1222611.5207909471,-963804.0481858589
2021-05-18T00:00:00Z,sushiswap,1791106.5420231004,1750185.0591617753,-40921.482861325145
2021-05-18T00:00:00Z,bitfinex,1763785.7575971307,454469.9764485383,-1309315.7811485925
2021-05-18T00:00:00Z,ftx,1350385.842586996,190785.7630453531,-1159600.079541643
2021-05-18T00:00:00Z,tokenlon,789792.8572411104,793161.5244635459,3368.6672224354697
2021-05-18T00:00:00Z,bancor,580591.1017426775,375076.0946216583,-205515.00712101918
2021-05-18T00:00:00Z,balancer,301864.45888874243,316887.1754631918,15022.716574449383
2021-05-18T00:00:00Z,hitbtc,2932.0973466982136,225.25981860700392,-2706.8375280912096
2021-05-17T00:00:00Z,uniswap,39806046.95935661,26258657.195503403,-13547389.763853211
2021-05-17T00:00:00Z,binance,10851256.91386878,,
2021-05-17T00:00:00Z,huobi,10152585.616328789,7545763.594311307,-2606822.0220174817
2021-05-17T00:00:00Z,gemini,3644484.076804933,1989888.7982451976,-1654595.2785597355
2021-05-17T00:00:00Z,coinbase,2571540.7825602167,4095111.9766216986,1523571.1940614819
2021-05-17T00:00:00Z,bitfinex,2325744.002542928,535414.3732480101,-1790329.629294918
2021-05-17T00:00:00Z,okex,2258850.752391883,2630456.9606070076,371606.20821512444
2021-05-17T00:00:00Z,sushiswap,1529789.4870840318,1532708.5783857894,2919.0913017576095
2021-05-17T00:00:00Z,ftx,1357527.192523651,1100720.2719814458,-256806.92054220522
2021-05-17T00:00:00Z,tokenlon,941576.4839454048,1047461.7149132218,105885.23096781701
2021-05-17T00:00:00Z,balancer,417096.6823868153,374007.13243989187,-43089.54994692345
2021-05-17T00:00:00Z,bancor,284019.6915450396,354890.9957848926,70871.304239853
2021-05-17T00:00:00Z,hitbtc,81149.72473214167,24.474076755124273,-81125.25065538654
2021-05-16T00:00:00Z,uniswap,22370052.5584,29680317.06617497,7310264.507774968
2021-05-16T00:00:00Z,okex,11285927.060091563,1374626.836641911,-9911300.223449651
2021-05-16T00:00:00Z,huobi,7323374.811442533,5978046.946267863,-1345327.8651746698
2021-05-16T00:00:00Z,binance,6336199.930636307,79347600.5464616,73011400.6158253
2021-05-16T00:00:00Z,gemini,3596577.1373943924,1508410.8963704137,-2088166.2410239787
2021-05-16T00:00:00Z,sushiswap,1653181.112300838,1828034.3002203451,174853.18791950704
2021-05-16T00:00:00Z,balancer,720815.6069754385,917534.8777919457,196719.27081650717
2021-05-16T00:00:00Z,bitfinex,715967.2340342947,1567403.9080100055,851436.6739757108
2021-05-16T00:00:00Z,tokenlon,707148.0745981348,720839.3440562754,13691.269458140596
2021-05-16T00:00:00Z,bancor,395262.63790127926,590972.865310387,195710.22740910773
2021-05-16T00:00:00Z,ftx,394034.95732275036,138414.37773574656,-255620.5795870038
2021-05-16T00:00:00Z,coinbase,363394.8990838899,2687873.7282213075,2324478.8291374175
2021-05-16T00:00:00Z,hitbtc,84770.77071209757,,
2021-05-15T00:00:00Z,uniswap,7794787.0296949465,11525426.823106492,3730639.7934115455
2021-05-15T00:00:00Z,huobi,5389404.699242523,301335.6897933938,-5088069.009449129
2021-05-15T00:00:00Z,binance,4154547.093332292,,
2021-05-15T00:00:00Z,bitfinex,1282243.5764271454,837398.2754037711,-444845.3010233743
2021-05-15T00:00:00Z,gemini,946670.4065859442,273887.4942210746,-672782.9123648696
2021-05-15T00:00:00Z,coinbase,789634.4325757882,2512522.213078724,1722887.7805029359
2021-05-15T00:00:00Z,ftx,428621.3283909817,60662.5085586611,-367958.8198323206
2021-05-15T00:00:00Z,sushiswap,331418.529951411,394973.17726569565,63554.64731428464
2021-05-15T00:00:00Z,okex,206807.18796294194,579999.0553120784,373191.8673491365
2021-05-15T00:00:00Z,tokenlon,110674.62647159786,110573.74045031753,-100.88602128032653
2021-05-15T00:00:00Z,balancer,50943.19831476575,121078.02689563314,70134.82858086738
2021-05-15T00:00:00Z,hitbtc,10387.244859224229,,
2021-05-15T00:00:00Z,bancor,1131.3455227283732,86461.39292673243,85330.04740400406
